baseDate,baseTime,category,fcstDate,fcstTime,fcstValue,nx,ny
20190911,1430,LGT,20190911,1500,0,89,91
20190911,1430,LGT,20190911,1600,0,89,91
20190911,1430,LGT,20190911,1700,0,89,91
20190911,1430,LGT,20190911,1800,0,89,91
20190911,1430,PTY,20190911,1500,1,89,91
20190911,1430,PTY,20190911,1600,1,89,91
20190911,1430,PTY,20190911,1700,0,89,91
20190911,1430,PTY,20190911,1800,0,89,91
20190911,1430,RN1,20190911,1500,0.8,89,91
20190911,1430,RN1,20190911,1600,0.8,89,91
20190911,1430,RN1,20190911,1700,0,89,91
20190911,1430,RN1,20190911,1800,0,89,91
20190911,1430,SKY,20190911,1500,4,89,91
20190911,1430,SKY,20190911,1600,4,89,91
20190911,1430,SKY,20190911,1700,4,89,91
20190911,1430,SKY,20190911,1800,4,89,91
20190911,1430,T1H,20190911,1500,28,89,91
20190911,1430,T1H,20190911,1600,27,89,91
20190911,1430,T1H,20190911,1700,26,89,91
20190911,1430,T1H,20190911,1800,25,89,91
20190911,1430,REH,20190911,1500,75,89,91
20190911,1430,REH,20190911,1600,75,89,91
20190911,1430,REH,20190911,1700,80,89,91
20190911,1430,REH,20190911,1800,80,89,91
20190911,1430,UUU,20190911,1500,-2,89,91
20190911,1430,UUU,20190911,1600,-2.1,89,91
20190911,1430,UUU,20190911,1700,-2.2,89,91
20190911,1430,UUU,20190911,1800,-2.3,89,91
20190911,1430,VVV,20190911,1500,-1.4,89,91
20190911,1430,VVV,20190911,1600,-1.4,89,91
20190911,1430,VVV,20190911,1700,-1.4,89,91
20190911,1430,VVV,20190911,1800,-1.4,89,91
20190911,1430,VEC,20190911,1500,55,89,91
20190911,1430,VEC,20190911,1600,56,89,91
20190911,1430,VEC,20190911,1700,57,89,91
20190911,1430,VEC,20190911,1800,58,89,91
20190911,1430,WSD,20190911,1500,2.6,89,91
20190911,1430,WSD,20190911,1600,2.7,89,91
20190911,1430,WSD,20190911,1700,2.7,89,91
20190911,1430,WSD,20190911,1800,2.8,89,91
